route,x,y,lat,long,season,type,hab
F-E,582752.911668351,5564268.692588306,-40.067774,147.97042,summer,RK,OO
F-E,582331.3050690236,5564562.212876155,-40.065171,147.965438,summer,RK,OO
F-E,581047.7322738924,5566429.708063138,-40.048478,147.950169,summer,RK,OO
F-E,581026.3952363821,5566557.53837667,-40.047332,147.949873,summer,RK,OO
F-E,580660.2768903241,5567275.849717726,-40.040894,147.945501,summer,RK,FO
F-E,580635.1008028816,5567307.06514683,-40.040626,147.945185,summer,RK,FO
F-E,580518.2733200553,5567451.89688246,-40.039312,147.94383,summer,RK,FO
F-E,580493.1778075568,5567483.012379671,-40.039036,147.943529,summer,RK,FO
F-E,580294.443229138,5567713.987455329,-40.036991,147.941146,summer,RK,FF
F-E,579990.1965088599,5568072.355994444,-40.033773,147.937564,summer,RK,FF
F-E,579861.0147666837,5568243.568533545,-40.032239,147.936037,summer,RK,FF
F-E,579756.3619200665,5568374.3584612785,-40.031062,147.934798,summer,RK,FF
F-E,579432.2153142809,5568616.090170228,-40.028923,147.930957,summer,RK,FO
F-E,579395.5613548629,5568643.353356084,-40.0287,147.930506,summer,RK,FO
F-E,579299.5204624035,5568698.139262103,-40.028172,147.9294,summer,RK,FF
F-E,579236.6637029538,5568725.238720373,-40.027956,147.928648,summer,RK,FF
F-E,578823.4882221685,5568901.828885438,-40.026422,147.923775,summer,RK,FF
F-E,578706.098240406,5568963.725507824,-40.025902,147.922357,summer,RK,FF
F-E,578562.1334722509,5569171.510138821,-40.024023,147.920658,summer,RK,FO
F-E,578415.5678145146,5569383.318825203,-40.022078,147.918988,summer,RK,FF
F-E,578335.9471449486,5570515.118737043,-40.01193,147.917852,summer,RK,FO
F-E,585656.8575932869,5561862.4090185575,-40.089132,148.004838,summer,RK,OO
F-E,584190.8504677495,5562958.499478956,-40.079428,147.987458,summer,RK,OO
F-E,582320.8415591184,5564569.373612661,-40.065085,147.965334,summer,RK,OO
F-E,581344.2533514018,5565252.522484386,-40.059069,147.953743,summer,RK,FO
F-E,585858.0786497467,5561581.998657839,-40.091839,148.006725,winter,FR,FO
F-E,586402.0535925322,5561113.632130923,-40.095802,148.013647,winter,FR,OO
F-E,585854.3735434782,5561589.937463215,-40.091599,148.007138,winter,FR,FO
F-E,579645.0539173383,5568457.770931137,-40.030315,147.933484,winter,FR,FF
F-E,578607.917229446,5569093.48528004,-40.024734,147.921183,winter,FR,FO
F-E,578412.1231208799,5569386.559977974,-40.022056,147.918939,winter,FR,FF
F-E,578580.9082786766,5569138.071179721,-40.024315,147.920902,winter,FR,FO
F-E,579393.4718780553,5568644.907506416,-40.028639,147.930526,winter,FR,FO
F-E,579672.8111722724,5568437.124019341,-40.030476,147.933833,winter,FR,FF
F-E,580483.7541591272,5567494.696786733,-40.038907,147.943456,winter,FR,FO
F-E,581301.1055872155,5565330.065771608,-40.058356,147.953267,winter,FR,FF
F-E,581969.2187226566,5564806.232137494,-40.062975,147.96119,winter,FR,OO
F-E,582114.5109359695,5564708.40047732,-40.063849,147.9629,winter,FR,OO
F-E,585345.7408455309,5562128.462133091,-40.086778,148.001114,winter,FR,FO
F-E,584065.6313368635,5563073.458883651,-40.078401,147.985979,winter,FR,OO
F-E,581959.7412007486,5564812.613649917,-40.062901,147.961093,winter,FR,OO
F-E,580590.2887820192,5567362.615304924,-40.0401,147.9447,winter,FR,FO
F-E,579750.1478631672,5568379.603651365,-40.03102,147.934715,winter,FR,FF
F-E,579050.8936470591,5568805.325540916,-40.027214,147.926482,winter,FR,FF
F-E,578578.535427816,5569142.066300594,-40.024302,147.920825,winter,FR,FO
F-E,582077.3653080794,5564733.412284713,-40.063623,147.962465,winter,FR,OO
F-E,586588.9957133157,5560966.159415156,-40.097143,148.015835,winter,FR,OO
F-E,581131.1920985308,5565646.956901943,-40.055547,147.951166,winter,FR,FF
F-E,579606.5895685892,5568486.381896557,-40.030068,147.933023,winter,FR,FF
F-E,578606.3049564875,5569096.104171209,-40.02474,147.921103,winter,FR,FO
F-E,581112.0131911812,5565685.143534603,-40.055177,147.951003,winter,FR,FF
F-E,581692.0598664635,5564992.859636486,-40.06133,147.957909,winter,FR,OO
F-E,584382.258564492,5562782.336711626,-40.080991,147.989731,winter,FR,OO
F-E,578333.3478105098,5570629.000221008,-40.010903,147.917844,spring,FR,OO
F-E,581549.3518252238,5565088.952766849,-40.060541,147.95617,spring,FR,OO
F-E,584360.3032559718,5562802.35440757,-40.080824,147.989458,spring,FR,OO
F-E,584020.2083314629,5563114.875604352,-40.078066,147.985402,spring,FR,OO
F-E,578678.4862271677,5568990.387591024,-40.02568,147.922011,spring,FR,FO
F-E,581599.9816731369,5565054.86197739,-40.060794,147.95681,spring,FR,OO
F-E,578232.6424741632,5571198.905836407,-40.005765,147.916642,spring,FR,OO
F-E,578335.5710587639,5570510.550325393,-40.011975,147.917917,spring,FR,FO
F-E,585061.5926511888,5562297.152986973,-40.08531,147.997742,summer,FR,FF
F-E,582961.7087243835,5564078.6810545875,-40.06949,147.972864,summer,FR,OO
F-E,582265.6764145779,5564606.616354138,-40.064776,147.964664,summer,FR,OO
F-E,578222.2710843456,5571234.109107663,-40.005463,147.916456,summer,FR,OO
F-E,578222.4032354184,5571233.660551573,-40.005454,147.916513,summer,FR,OO
F-E,580639.9478019399,5567301.056640973,-40.040642,147.945302,summer,FR,FO
F-E,581044.5840112158,5566493.011896089,-40.047903,147.950198,summer,FR,OO
F-E,582053.2225841262,5564749.6686332375,-40.063529,147.962137,summer,FR,OO
F-E,583211.1985601323,5563851.095002489,-40.071473,147.975868,summer,FR,FO
F-E,581049.0056738822,5566179.548801671,-40.050731999999996,147.950168,summer,FR,FF
F-E,582922.5009647585,5564114.448187977,-40.069081,147.972505,summer,FR,OO
F-E,585410.4309708864,5562089.968506574,-40.087155,148.00185,spring,RK,FO
F-E,584751.5262003818,5562480.862480877,-40.083683,147.994084,spring,RK,FF
F-E,583345.7224618648,5563728.886544619,-40.072584,147.977434,summer,RK,FO
F-E,585591.811366571,5561947.970256001,-40.0884,148.00401,autumn,RK,FO
F-E,585502.1999354158,5562032.628013459,-40.08763,148.00296,autumn,RK,FO
F-E,585361.7899095844,5562118.91226944,-40.08692,148.00126,autumn,RK,FO
F-E,585175.2394515432,5562229.820598097,-40.08591,147.99908,autumn,RK,FF
F-E,584948.0170973577,5562364.447758979,-40.08477,147.99636,autumn,RK,FF
F-E,584854.8987296346,5562419.6172657395,-40.08427,147.99527,autumn,RK,FF
F-E,584594.6746437493,5562588.934743092,-40.08277,147.99218,autumn,RK,OO
F-E,584478.1113172643,5562695.064158541,-40.08173,147.99091,autumn,RK,OO
F-E,584268.6788092122,5562886.744006362,-40.08022,147.9882,autumn,RK,OO
F-E,584217.1241453198,5562934.275874586,-40.07966,147.98775,autumn,RK,OO
F-E,584166.2364265586,5562981.193069338,-40.07924,147.98715,autumn,RK,OO
F-E,584144.8404025171,5563000.918848914,-40.07907,147.98689,autumn,RK,OO
F-E,583746.849038262,5563364.098229837,-40.0758,147.98222,autumn,RK,FO
F-E,583720.0918472966,5563388.494497416,-40.07562,147.98186,autumn,RK,FO
F-E,583693.3512801428,5563412.875985598,-40.07538,147.98157,autumn,RK,FO
F-E,583679.8963381805,5563425.142149422,-40.07528,147.9814,autumn,RK,FO
F-E,583655.4877863626,5563447.391960618,-40.0751,147.98109,autumn,RK,FO
F-E,583363.6673741266,5563712.596352057,-40.0727,147.97768,autumn,RK,FO
F-E,583246.7910572587,5563818.703666878,-40.07183,147.97621,autumn,RK,FO
F-E,583246.7910572587,5563818.703666878,-40.07183,147.97621,autumn,FR,FO
F-E,583105.5438058777,5563947.46910855,-40.07069,147.97453,autumn,RK,FO
F-E,583023.8488402164,5564021.993721353,-40.06996,147.97364,autumn,RK,OO
F-E,582966.616200705,5564074.204857096,-40.06948,147.97298,autumn,RK,OO
F-E,581022.4516062087,5566567.975057902,-40.04724,147.94982,autumn,RK,OO
F-E,580982.459324524,5566673.79115048,-40.04629,147.94934,autumn,RK,FO
F-E,580530.1774501834,5567437.14030371,-40.03947,147.94393,autumn,RK,FO
F-E,580519.0072137122,5567450.987134379,-40.03937,147.94376,autumn,RK,FO
F-E,580496.4563446882,5567478.947323393,-40.03909,147.94354,autumn,RK,FO
F-E,580475.518566604,5567504.908246408,-40.03884,147.94332,autumn,RK,FO
F-E,580449.7860646362,5567536.563142895,-40.03852,147.94307,autumn,RK,FO
F-E,580285.8526798382,5567723.727076939,-40.0369,147.94105,autumn,RK,FF
F-E,579869.9627494141,5568231.368119753,-40.03235,147.93614,autumn,RK,FF
F-E,579500.6160673122,5568565.207232111,-40.02938,147.93176,autumn,RK,FO
F-E,578862.2629564751,5568885.944188531,-40.02668,147.92417,autumn,RK,FF
F-E,578790.9701868702,5568915.714085021,-40.02632,147.92338,autumn,RK,FF
F-E,578670.0237565706,5569001.403854547,-40.02574,147.92159,autumn,RK,FO
F-E,578670.0237565706,5569001.403854547,-40.02574,147.92159,autumn,RK,FO
F-E,578363.3229966795,5569650.537858836,-40.01974,147.9185,autumn,RK,FF
F-E,578363.3229966795,5569650.537858836,-40.01974,147.9185,autumn,RK,FF
