route,x,y,lat,long,habitat
F-E,581981.5188266182,5564797.950092146,-40.06308773,147.9613016,OO
F-E,581940.0437039069,5564825.876591644,-40.06284019,147.9608118,OO
F-E,581898.5768066351,5564853.80276671,-40.06259265,147.9603221,OO
F-E,581857.1010900399,5564881.729911351,-40.0623451,147.9598323,OO
F-E,581815.6250704926,5564909.656823571,-40.06209755,147.9593425,OO
F-E,581774.1487479975,5564937.583503371,-40.06185,147.9588527,OO
F-E,581732.6806510536,5564965.5098589305,-40.06160245,147.958363,OO
F-E,581691.2037226927,5564993.43607394,-40.0613549,147.9578732,OO
F-E,581649.7265033276,5565021.363166474,-40.06110734,147.9573834,OO
F-E,581608.2575095994,5565049.289934911,-40.06085978,147.9568937,OO
F-E,581566.7796843558,5565077.2165626595,-40.06061222,147.9564039,OO
F-E,581525.3100848186,5565105.142866409,-40.06036466,147.9559142,OO
F-E,581483.8316537066,5565133.06902938,-40.0601171,147.9554244,OO
F-E,581442.3614602711,5565160.995978384,-40.05986953,147.9549347,OO
F-E,581401.9211179756,5565190.332536793,-40.05960916,147.9544569,OO
F-E,581363.1239976336,5565221.803681887,-40.0593294,147.9539981,OO
F-E,581337.0092249691,5565264.314920451,-40.05894896,147.9536866,FO
F-E,581313.0241270227,5565308.186394377,-40.05855606,147.9533999,FF
F-E,581289.107344449,5565352.091462996,-40.05816285,147.953114,FF
F-E,581265.4991982293,5565396.168533245,-40.05776806,147.9528317,FF
F-E,581241.8907704992,5565440.245522962,-40.05737327,147.9525494,FF
F-E,581218.2906022068,5565484.323450853,-40.05697847,147.9522672,FF
F-E,581194.6816115101,5565528.400279534,-40.05658368,147.9519849,FF
F-E,581171.0808684808,5565572.476936506,-40.05618889,147.9517027,FF
F-E,581147.4713266903,5565616.554714096,-40.05579409,147.9514204,FF
F-E,581123.8700208128,5565660.631210089,-40.0553993,147.9511382,FF
F-E,581102.1121129327,5565705.612618716,-40.05499618,147.9508775,FF
F-E,581084.5070174398,5565752.079281695,-40.05457928,147.9506653,FF
F-E,581077.622927015,5565801.602888692,-40.05413381,147.9505784,FF
F-E,581070.7387351508,5565851.126484311,-40.05368834,147.9504915,FF
F-E,581063.8544418528,5565900.650068551,-40.05324287,147.9504046,FF
F-E,581056.961517522,5565950.173732459,-40.0527974,147.9503176,FF
F-E,581052.0582698702,5565999.898160865,-40.05234993,147.9502539,FF
F-E,581048.8629371207,5566049.79639396,-40.05190073,147.9502102,FF
F-E,581048.74813385,5566099.787181736,-40.0514504,147.9502026,FF
F-E,581048.9064015703,5566149.787261899,-40.05099996,147.9501982,FF
F-E,581049.0731773482,5566199.786137258,-40.05054953,147.9501939,FF
F-E,581049.2399551109,5566249.7861187225,-40.05009909,147.9501896,FO
F-E,581049.4067230151,5566299.786096357,-40.04964865,147.9501853,FO
F-E,581049.0701136385,5566349.7825614335,-40.04919829,147.9501751,FO
F-E,581048.2301170484,5566399.775513736,-40.04874801,147.950159,FO
F-E,581047.3986275067,5566449.768370896,-40.04829773,147.950143,OO
F-E,581044.1663113411,5566499.429401421,-40.04785067,147.9500989,OO
F-E,581030.2262601728,5566547.399704347,-40.04741987,147.9499295,OO
F-E,581012.5535791104,5566594.169845216,-40.04700024,147.9497165,FO
F-E,580994.8721524571,5566640.941139222,-40.0465806,147.9495034,FO
F-E,580977.199029064,5566687.712294478,-40.04616096,147.9492904,FO
F-E,580958.917447676,5566734.249001018,-40.04574349,147.9490703,FO
F-E,580940.2415256593,5566780.630007286,-40.04532746,147.9488456,OO
F-E,580921.5653546428,5566827.0098509565,-40.04491144,147.9486209,OO
F-E,580902.8889582835,5566873.390751901,-40.04449541,147.9483962,FO
F-E,580882.3608926506,5566918.964317145,-40.04408683,147.9481499,FO
F-E,580861.0868657868,5566964.213849189,-40.04368124,147.9478949,FO
F-E,580836.8958232899,5567007.963577479,-40.04328944,147.9476059,FO
F-E,580812.558679803,5567051.640398625,-40.04289831,147.9473152,FO
F-E,580788.2127067083,5567095.316115453,-40.04250719,147.9470244,OO
F-E,580760.5944519875,5567136.984018106,-40.04213447,147.9466955,FO
F-E,580732.8127621885,5567178.555861268,-40.04176263,147.9463647,FO
F-E,580705.0307627433,5567220.127595619,-40.04139079,147.9460339,FO
F-E,580673.7572142694,5567259.134311625,-40.04104239,147.9456625,FO
F-E,580642.3714820889,5567298.052164142,-40.0406948,147.9452898,FO
F-E,580610.9768933718,5567336.969970379,-40.04034721,147.944917,FO
F-E,580579.5819791834,5567375.887639741,-40.03999962,147.9445442,FO
F-E,580548.1952707596,5567414.805081782,-40.03965203,147.9441715,FO
F-E,580516.7997174452,5567453.723587371,-40.03930443,147.9437987,FO
F-E,580485.4123582207,5567492.640755776,-40.03895684,147.943426,FO
F-E,580454.0246853806,5567531.558897318,-40.03860924,147.9430533,FO
F-E,580421.7155439999,5567569.704059997,-40.03826869,147.9426699,FO
F-E,580388.6398355995,5567607.201140002,-40.03793405,147.9422776,FO
F-E,580355.5637977978,5567644.698068991,-40.03759941,147.9418853,FO
F-E,580322.4874306023,5567682.194846963,-40.03726477,147.941493,FO
F-E,580289.410745741,5567719.692583854,-40.03693012,147.9411007,FF
F-E,580256.3422513709,5567757.188969679,-40.03659548,147.9407085,FF
F-E,580223.2649077631,5567794.686404579,-40.03626083,147.9403162,FF
F-E,580190.1872347605,5567832.1836884655,-40.03592618,147.9399239,FF
F-E,580157.1092323728,5567869.68082134,-40.03559153,147.9395316,FF
F-E,580124.039432371,5567907.177713236,-40.03525688,147.9391394,FF
F-E,580092.1144356129,5567945.649225981,-40.03491334,147.9387605,FF
F-E,580060.7830146509,5567984.608315974,-40.03456535,147.9383885,FF
F-E,580029.4427483705,5568023.568469462,-40.03421735,147.9380164,FF
F-E,579998.1021568945,5568062.528486586,-40.03386935,147.9376443,FF
F-E,579966.761240231,5568101.488367347,-40.03352135,147.9372722,FF
F-E,579936.2113790427,5568141.051428705,-40.03316784,147.9369093,FF
F-E,579906.6333621813,5568181.368967092,-40.03280744,147.9365577,FF
F-E,579877.0635589012,5568221.686293512,-40.03244704,147.9362062,FF
F-E,579847.4934488367,5568262.004607656,-40.03208663,147.9358547,FF
F-E,579818.7139064478,5568302.878401579,-40.03172114,147.9355124,FF
F-E,579789.596886178,5568343.33601798,-40.03135943,147.9351662,FF
F-E,579753.0741503653,5568377.427357115,-40.03105577,147.934734,FF
F-E,579712.9481397627,5568407.26926949,-40.03079073,147.9342601,FF
F-E,579672.8303360334,5568437.109764599,-40.0305257,147.9337863,FF
F-E,579632.7122301487,5568466.951151854,-40.03026066,147.9333125,FF
F-E,579592.5938104757,5568496.7923213225,-40.02999562,147.9328387,FF
F-E,579552.4750770164,5568526.6332730055,-40.02973058,147.9323649,FO
F-E,579512.3560413788,5568556.475116838,-40.02946553,147.9318911,FO
F-E,579472.2366803393,5568586.3156329505,-40.02920049,147.9314173,FO
F-E,579432.1255496857,5568616.156952038,-40.02893544,147.9309436,FO
F-E,579392.0055727066,5568645.9981425665,-40.02867039,147.9304698,FO
F-E,579350.524754416,5568673.850781977,-40.02842338,147.9299803,FF
F-E,579305.5913020333,5568695.521800397,-40.02823238,147.9294511,FF
F-E,579259.6822616969,5568715.315628329,-40.02805838,147.9289107,FF
F-E,579213.7644663547,5568735.110373722,-40.02788437,147.9283702,FF
F-E,579167.8464370717,5568754.904837614,-40.02771036,147.9278297,FF
F-E,579121.9367065901,5568774.698931176,-40.02753635,147.9272893,FF
F-E,579076.0182094527,5568794.492832116,-40.02736234,147.9267488,FF
F-E,579030.1080227,5568814.287472766,-40.02718832,147.9262084,FF
F-E,578984.1890692384,5568834.081920692,-40.0270143,147.9256679,FF
F-E,578938.2784146492,5568853.8759985,-40.02684028,147.9251275,FF
F-E,578892.3414322487,5568873.622333511,-40.02666669,147.9245868,FF
F-E,578846.0717238296,5568892.577038637,-40.02650026,147.9240423,FF
F-E,578799.801801615,5568911.532568132,-40.02633382,147.9234978,FF
F-E,578754.6405986499,5568932.915105575,-40.02614541,147.922966,FF
F-E,578711.6969266838,5568958.319431923,-40.02592056,147.9224597,FF
F-E,578675.879910805,5568992.9042428555,-40.02561234,147.9220358,FO
F-E,578647.5125731181,5569034.076545602,-40.02524408,147.9216984,FO
F-E,578619.1449114726,5569075.247625457,-40.02487583,147.921361,FO
F-E,578592.941901382,5569117.810413211,-40.02449484,147.9210488,FO
F-E,578567.4086637037,5569160.800207682,-40.02410994,147.9207444,FO
F-E,578545.3583527822,5569205.567741461,-40.0237087,147.9204806,FO
F-E,578525.5212451748,5569251.463461859,-40.02329709,147.9202426,FO
F-E,578505.683901038,5569297.360233679,-40.02288547,147.9200046,FO
F-E,578473.3757287326,5569334.795011895,-40.02255124,147.9196215,FO
F-E,578434.1651306618,5569365.82039163,-40.02227539,147.9191583,FO
F-E,578398.0400833566,5569399.810873676,-40.02197254,147.9187309,FF
F-E,578376.4297370623,5569444.374622545,-40.02157309,147.9184723,FF
F-E,578368.7954764408,5569493.609634476,-40.02113026,147.9183769,FF
F-E,578364.8457512651,5569543.453812522,-40.0206816,147.9183246,FF
F-E,578362.3134626098,5569593.372177398,-40.02023214,147.9182889,FF
F-E,578362.1963144429,5569643.280074541,-40.01978255,147.9182815,FF
F-E,578369.8661345844,5569692.686995465,-40.01933675,147.9183654,FF
F-E,578374.8843969135,5569742.351021252,-40.01888888,147.9184182,FF
F-E,578377.8056136505,5569792.253118962,-40.01843906,147.9184464,FF
F-E,578383.7368713763,5569841.885521308,-40.01799139,147.9185099,FF
F-E,578386.2210404662,5569891.608957826,-40.01754322,147.918533,FF
F-E,578376.3979980682,5569940.519052039,-40.01710352,147.918412,FF
F-E,578359.7682345874,5569987.365764583,-40.01668304,147.9182115,FF
F-E,578336.9678924392,5570031.772848633,-40.01628511,147.917939,FF
F-E,578309.7892606287,5570073.740659677,-40.01590956,147.9176155,FF
F-E,578282.833607106,5570115.841493592,-40.01553279,147.9172946,FF
F-E,578268.3473885343,5570162.90234146,-40.01511018,147.9171192,FF
F-E,578278.3499932607,5570211.759137623,-40.01466912,147.9172305,FF
F-E,578289.6740720237,5570260.459118714,-40.01422935,147.9173573,FO
F-E,578300.9982851797,5570309.159081386,-40.01378958,147.9174841,FO
F-E,578312.3226441528,5570357.860135574,-40.0133498,147.9176109,FO
F-E,578323.5108933044,5570406.592545873,-40.01290975,147.9177361,FO
F-E,578329.7147144213,5570456.171075462,-40.01246254,147.9178028,FO
F-E,578335.1857900051,5570505.870370752,-40.01201431,147.9178609,FO
F-E,578339.2834757438,5570555.645970138,-40.01156552,147.9179029,FO
F-E,578336.6221855235,5570605.5422512675,-40.01111627,147.9178657,OO
F-E,578329.7143837264,5570655.030475695,-40.01067109,147.9177788,OO
F-E,578321.302111492,5570704.317722129,-40.01022786,147.9176743,OO
F-E,578312.8897191898,5570753.60495392,-40.00978463,147.9175698,OO
F-E,578304.477206819,5570802.892171065,-40.0093414,147.9174653,OO
F-E,578296.0645743813,5570852.179373569,-40.00889817,147.9173608,OO
F-E,578287.6518218761,5570901.466561429,-40.00845494,147.9172563,OO
F-E,578279.2389493092,5570950.7537346445,-40.00801171,147.9171518,OO
F-E,578270.8259566801,5571000.040893217,-40.00756848,147.9170473,OO
F-E,578262.3786343697,5571049.321728867,-40.00712531,147.9169424,OO
F-E,578253.9311915736,5571098.6025497895,-40.00668214,147.9168375,OO
F-E,578244.8591750872,5571147.756574107,-40.00624017,147.9167253,OO
F-E,578233.3747395129,5571196.420331938,-40.00580284,147.9165849,OO
F-E,578219.2534076136,5571244.351909681,-40.00537235,147.9164137,OO
F-E,578203.9529325735,5571292.193451697,-40.00494278,147.9162287,OO
F-M,587225.6832232751,5560413.904664899,-40.10205373,148.023376,OO
F-M,587235.6411960481,5560462.901977947,-40.10161132,148.0234862,OO
F-M,587245.6078217403,5560511.900288152,-40.1011689,148.0235965,OO
F-M,587255.5660276748,5560560.897571784,-40.10072649,148.0237067,OO
F-M,587265.5328738656,5560609.894742598,-40.10028408,148.023817,OO
F-M,587275.4913129534,5560658.891996817,-40.099841670000004,148.0239272,OO
F-M,587285.4498813672,5560707.890346287,-40.09939925,148.0240374,OO
F-M,587295.4170774176,5560756.887472952,-40.09895684,148.0241477,OO
F-M,587305.3758661986,5560805.884683055,-40.09851443,148.0242579,OO
F-M,587315.3433082802,5560854.882890239,-40.09807201,148.0243682,OO
F-M,587323.0555130799,5560904.212336563,-40.09762684,148.024452,OO
F-M,587327.7380232033,5560953.9929578025,-40.09717792,148.0245002,OO
F-M,587324.0963342331,5561003.463155576,-40.09673266,148.0244508,OO
F-M,587315.7210061726,5561052.758070634,-40.09628947,148.0243459,OO
F-M,587302.5710516385,5561100.547148797,-40.09586034,148.0241852,OO
F-M,587281.2067389215,5561145.750980635,-40.09545535,148.0239285,OO
F-M,587259.833651022,5561190.955953067,-40.09505035,148.0236717,OO
F-M,587237.8771534129,5561235.864510499,-40.09464808,148.0234081,OO
F-M,587214.6770765177,5561280.155652077,-40.0942515,148.02313,OO
F-M,587191.4681959638,5561324.446813299,-40.09385492,148.0228518,OO
F-M,587168.267547958,5561368.736688141,-40.09345835,148.0225737,OO
F-M,587145.0666335694,5561413.027594556,-40.09306177,148.0222956,OO
F-M,587121.8654400383,5561457.318422593,-40.09266519,148.0220175,OO
F-M,587098.6639673682,5561501.609172252,-40.09226861,148.0217394,OO
F-M,587075.4622155624,5561545.8998435335,-40.09187203,148.0214613,OO
F-M,587052.2601846242,5561590.19043644,-40.09147545,148.0211832,OO
F-M,587029.5124686139,5561634.717734938,-40.09107669,148.0209104,OO
F-M,587006.8330456971,5561679.276363941,-40.09067764,148.0206384,OO
F-M,586991.0739884092,5561726.587390109,-40.09025308,148.0204472,OO
F-M,586976.9849164898,5561774.560820809,-40.08982238,148.0202755,OO
F-M,586972.5732240835,5561824.0517526,-40.08937701,148.0202171,FO
F-M,586976.1610787695,5561873.7173619075,-40.08892924,148.0202525,FO
F-M,586987.8573813245,5561921.8879188895,-40.0884941,148.0203832,OO
F-M,587009.4941610212,5561966.964927018,-40.0880858,148.0206309,OO
F-M,587044.5355395622,5562001.715129387,-40.08776914,148.0210372,OO
F-M,587086.1556036108,5562029.430450799,-40.08751517,148.0215216,OO
F-M,587131.0775806714,5562051.37064309,-40.08731288,148.0220455,OO
F-M,587175.9584714501,5562073.422057697,-40.08710959,148.0225689,OO
F-M,587220.8144602815,5562095.509022721,-40.08690598,148.023092,OO
F-M,587265.6707278691,5562117.596835912,-40.08670236,148.0236151,OO
F-M,587310.5272486752,5562139.6832773695,-40.08649875,148.0241382,OO
F-M,587355.3840482468,5562161.770566993,-40.08629513,148.0246613,OO
F-M,587400.241113812,5562183.857594838,-40.08609151,148.0251844,OO
F-M,587445.0984453701,5562205.9443609035,-40.08588789,148.0257075,OO
F-M,587489.9810433664,5562227.980622443,-40.08568472,148.0262309,OO
F-M,587535.0137930228,5562249.705174987,-40.08548434,148.0267561,OO
F-M,587580.0468183531,5562271.430573603,-40.08528395,148.0272813,OO
F-M,587625.080106549,5562293.155708342,-40.08508356,148.0278065,OO
F-M,587670.113657614,5562314.880579203,-40.08488317,148.0283317,OO
F-M,587715.1474843784,5562336.606296139,-40.08468277,148.0288569,OO
F-M,587760.1815611813,5562358.330639251,-40.08448238,148.0293821,OO
F-M,587807.9788757283,5562372.712738067,-40.08434784,148.0299407,OO
F-M,587856.1571969399,5562386.108800632,-40.08422214,148.0305039,OO
F-M,587904.3271701505,5562399.504658524,-40.08409644,148.031067,OO
F-M,587952.4973339305,5562412.901322993,-40.08397073,148.0316301,OO
F-M,587999.7524135314,5562428.989191041,-40.08382087,148.0321821,OO
F-M,588046.0925553241,5562447.777159887,-40.08364678,148.032723,OO
F-M,588082.7142621765,5562481.428705511,-40.08333981,148.0331479,OO
F-M,588116.9858014275,5562517.537389536,-40.08301095,148.0335449,OO
F-M,588142.7323696964,5562560.4022524925,-40.08262212,148.033841,OO
F-M,588166.2503100808,5562604.447439123,-40.08222289,148.0341108,OO
F-M,588187.3531823215,5562649.775045446,-40.08181236,148.0343521,OO
F-M,588208.4562846008,5562695.101484076,-40.08140184,148.0345934,OO
F-M,588231.5604331981,5562739.427707265,-40.08100012,148.0348583,OO
F-M,588256.7146428702,5562782.566630773,-40.08060888,148.0351474,OO
F-M,588285.0274372856,5562823.780440042,-40.08023465,148.0354738,OO
F-M,588313.3405332447,5562864.994146069,-40.07986042,148.0358002,OO
F-M,588340.2739010181,5562907.0619435795,-40.07947864,148.0361103,OO
F-M,588364.6168411669,5562950.735054314,-40.07908267,148.0363898,OO
F-M,588398.468791693,5562987.132719584,-40.07875124,148.0367818,OO
F-M,588437.8568710423,5563017.797540955,-40.07847087,148.0372395,OO
F-M,588478.1790091435,5563047.362264609,-40.07820031,148.0377083,OO
F-M,588518.5014628121,5563076.926777791,-40.07792975,148.0381771,OO
F-M,588558.8242320415,5563106.491080504,-40.07765919,148.0386459,FO
F-M,588599.7515603914,5563135.219981967,-40.07739609,148.0391219,FF
F-M,588640.7881011234,5563163.780879186,-40.07713449,148.0395992,FF
F-M,588681.824965622,5563192.342668242,-40.07687288,148.0400765,FF
F-M,588722.8706675855,5563220.904139485,-40.07661127,148.0405539,FF
F-M,588763.9081537144,5563249.465492281,-40.07634966,148.0410312,FF
F-M,588804.9459506404,5563278.026626971,-40.07608805,148.0415085,FF
F-M,588847.391002452,5563304.388610702,-40.0758461,148.0420026,FF
F-M,588890.5230529156,5563329.675508978,-40.07561376,148.0425049,FF
F-M,588932.2467735757,5563357.016821471,-40.07536306,148.0429904,FF
F-M,588971.3043413123,5563388.23456529,-40.07507772,148.0434441,FF
F-M,589010.1184143428,5563419.750258959,-40.07478972,148.0438949,FF
F-M,589048.8404075697,5563451.385623142,-40.07450065,148.0443446,FF
F-M,589087.5627368805,5563483.0219034795,-40.07421157,148.0447943,FF
F-M,589126.2768622399,5563514.658090179,-40.07392249,148.0452439,FF
